region,year,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52
RO,2018,19,32,22,14,29,16,24,10,12,7,13,17,13,18,11,14,12,27,10,9,10,12,9,5,3,6,6,5,9,5,7,7,3,4,7,5,5,4,7,2,8,17,8,5,7,10,7,3,4,4,8,8
AC,2018,105,111,117,111,99,107,123,85,93,92,90,86,81,83,70,81,57,77,78,50,92,60,48,46,43,32,39,47,53,52,49,42,50,46,51,44,124,161,138,167,228,298,328,411,489,415,420,435,335,259,305,180
AM,2018,51,47,73,67,61,50,75,73,92,66,72,75,82,88,76,65,55,53,52,54,40,27,48,53,47,27,35,44,45,45,39,30,31,40,40,23,36,34,20,27,20,29,25,22,25,20,24,13,23,24,23,19
RR,2018,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,1,2,NA,2,1,4,2,1,5,1,8,7,3,6,8,1,1,1,6,2,10,6,4,1,3,3,4,2,4,3,3,1
PA,2018,51,52,69,55,69,103,115,136,154,202,211,147,114,206,162,130,99,134,123,121,74,51,66,66,38,32,22,34,24,35,40,58,55,65,42,28,30,28,20,34,19,29,13,25,31,36,57,62,48,84,36,40
AP,2018,6,13,23,18,22,21,23,16,27,28,32,33,25,44,33,36,26,20,22,13,8,11,13,11,6,4,13,8,8,4,14,15,12,14,12,7,6,8,7,7,10,19,22,10,3,4,8,6,5,5,7,7
TO,2018,30,37,53,50,48,41,33,37,52,66,58,75,67,110,109,92,96,95,107,84,45,53,36,27,23,21,21,17,8,8,9,20,14,22,6,14,11,16,17,16,14,23,18,40,62,58,92,135,166,176,201,138
MA,2018,47,71,44,42,28,47,65,43,63,43,57,62,49,102,81,135,107,130,111,121,111,70,40,36,23,19,14,15,24,11,22,33,18,15,11,17,24,21,7,12,19,25,13,12,28,6,13,10,15,11,11,13
PI,2018,41,37,64,61,46,37,58,44,60,60,76,50,42,33,43,56,68,77,76,64,47,91,60,51,47,34,37,28,26,33,33,26,30,28,22,19,20,19,13,13,7,18,12,13,8,10,11,10,13,22,27,21
CE,2018,50,49,68,71,112,110,110,95,149,131,162,147,172,223,262,207,127,113,94,100,83,75,83,91,93,102,97,62,60,61,55,77,52,62,50,54,39,46,35,34,43,30,28,21,26,17,22,15,28,21,26,35
RN,2018,77,89,96,81,109,148,189,235,308,396,543,521,547,802,1006,1153,1166,1188,1070,984,1009,866,960,1006,843,686,723,651,719,540,515,531,454,402,369,296,293,209,191,202,178,169,141,137,148,146,117,138,117,146,109,86
PB,2018,61,58,56,43,98,94,115,106,133,130,160,187,187,375,345,558,600,643,687,669,594,493,455,456,379,272,280,254,265,219,209,195,162,130,119,84,71,65,74,74,84,72,56,64,71,83,81,82,86,60,68,45
PE,2018,124,115,101,95,127,115,156,209,224,264,288,337,328,467,478,510,428,357,367,320,293,281,277,282,212,222,192,207,242,202,175,189,188,205,144,140,131,122,117,174,144,167,166,136,185,151,154,172,174,173,112,92
AL,2018,33,54,34,30,22,51,31,34,28,33,37,33,16,43,44,50,44,52,60,92,78,65,78,90,53,44,56,31,59,51,51,36,54,49,40,19,38,35,36,28,39,34,31,28,36,36,33,36,26,41,34,26
SE,2018,3,3,1,2,2,2,1,6,3,NA,7,6,4,2,9,8,4,11,10,13,8,5,10,4,4,1,4,6,9,1,1,5,8,7,1,4,3,3,3,3,9,3,4,4,6,4,6,3,3,2,3,3
BA,2018,95,115,176,149,139,116,162,192,270,274,250,209,217,348,466,506,476,485,445,366,273,267,237,227,149,132,148,96,113,117,104,122,114,112,78,78,86,78,86,92,99,107,118,126,130,140,147,137,131,168,146,119
MG,2018,335,397,503,552,505,505,604,581,734,909,1003,1134,1231,1603,2120,1874,1402,1348,1206,1038,681,459,444,424,291,255,247,196,146,127,140,104,98,134,109,102,104,130,160,166,167,195,187,218,276,285,400,468,621,856,818,583
