region,year,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52
ES,2018,83,99,104,97,90,109,137,112,189,220,247,283,229,338,379,320,287,291,359,287,320,223,275,236,258,275,247,238,194,179,169,164,166,157,113,96,115,129,117,133,144,119,110,111,125,113,157,229,240,307,304,244
RJ,2018,190,230,353,303,415,350,383,466,494,607,700,699,680,892,835,609,502,489,481,455,306,274,229,245,211,224,264,203,193,160,116,140,101,103,79,64,71,84,59,92,73,97,85,91,97,104,110,144,181,185,176,156
SP,2018,225,287,315,300,328,281,330,359,394,449,499,464,455,587,575,608,495,603,593,489,396,293,291,260,241,210,194,162,161,163,165,116,102,122,98,95,109,116,141,141,147,177,216,254,334,367,514,567,727,1035,990,788
PR,2018,33,40,35,34,64,48,31,36,26,27,25,30,43,57,73,57,59,56,57,40,29,9,13,16,12,30,17,13,8,8,9,9,8,9,10,7,4,12,9,20,15,22,34,21,17,13,20,25,43,38,22,31
SC,2018,4,2,5,7,3,3,4,9,6,4,7,NA,2,5,7,8,13,8,5,9,5,2,3,3,1,3,NA,1,1,2,3,NA,NA,1,1,2,1,3,1,2,3,NA,2,4,5,3,2,4,4,5,4,3
RS,2018,4,4,5,5,8,7,4,5,3,5,6,3,3,2,6,1,5,3,2,NA,1,3,1,2,NA,NA,1,1,NA,2,2,NA,1,NA,NA,2,2,NA,NA,3,1,2,4,NA,2,2,1,5,3,3,1,2
MS,2018,93,103,132,117,91,74,77,92,77,85,73,91,71,72,77,84,62,92,83,62,43,31,48,19,37,54,34,25,19,23,15,14,7,20,18,14,9,13,30,27,23,26,24,49,115,155,300,461,651,710,485,410
MT,2018,314,310,270,360,421,386,302,260,338,280,295,281,162,238,239,179,147,187,176,134,105,101,92,86,72,59,71,58,43,39,40,37,41,43,36,32,50,23,26,23,30,41,25,53,84,58,74,91,129,139,101,101
GO,2018,1201,1621,1996,2245,2729,2314,2592,3142,3588,4044,3874,3825,3764,4264,4212,4102,2994,4011,3936,3328,2341,1827,1704,1529,1329,848,801,633,560,450,531,448,465,482,438,408,421,471,514,643,507,682,710,682,739,802,1079,1092,1279,1407,1047,894
DF,2018,45,50,62,43,49,60,56,42,52,52,58,50,57,69,80,67,56,58,99,79,41,52,38,48,46,41,26,33,25,24,23,14,17,20,18,20,20,25,27,29,32,29,36,50,39,40,66,69,70,86,109,76
