region,year,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52
RO,2017,131,130,144,125,146,113,139,123,105,125,81,61,51,42,47,27,22,29,20,21,13,20,13,17,19,9,12,6,11,12,10,12,12,11,10,13,12,12,10,11,7,7,10,12,12,27,25,18,26,24,33,66
AC,2017,49,59,81,85,79,66,64,35,50,66,52,39,36,44,45,27,14,30,21,18,21,23,18,15,4,14,17,17,10,12,11,10,10,11,11,6,16,4,11,21,25,38,23,32,41,55,66,71,100,87,72,52
AM,2017,100,98,134,131,214,205,136,75,104,111,121,178,137,150,156,102,84,85,52,66,60,48,48,48,54,39,44,44,43,62,42,67,53,49,67,68,79,53,62,48,31,25,17,25,39,25,42,39,34,29,29,47
RR,2017,4,2,4,1,2,2,4,4,1,2,10,15,10,6,9,10,8,12,12,8,15,11,13,10,6,12,6,10,10,7,7,2,8,3,1,4,5,3,NA,3,4,3,NA,2,3,1,1,1,2,1,2,2
PA,2017,182,233,371,791,901,455,496,351,400,415,398,296,192,178,128,95,78,132,116,104,62,55,58,45,60,60,55,44,44,44,49,54,54,58,29,33,35,34,50,37,52,48,47,41,55,43,34,47,41,54,37,55
AP,2017,27,38,39,35,53,65,32,37,52,65,39,29,22,30,30,20,21,28,23,20,35,17,15,6,7,5,NA,5,8,5,11,5,4,2,2,4,4,9,10,6,9,5,4,7,7,1,3,9,6,6,7,8
TO,2017,100,120,132,171,185,182,240,174,215,175,211,259,193,207,204,226,175,210,188,187,171,119,106,68,63,51,32,28,30,31,45,22,27,13,15,11,20,16,11,21,14,22,27,19,15,23,30,37,23,27,26,39
MA,2017,71,94,111,106,254,313,589,628,491,375,291,310,244,219,231,251,213,224,228,222,128,134,138,113,116,73,59,72,73,39,72,64,43,54,39,39,38,22,25,24,17,25,22,26,44,31,25,22,24,30,40,56
PI,2017,29,27,43,44,44,41,50,89,73,132,121,168,155,181,210,238,233,245,307,419,364,244,221,228,190,133,154,125,91,66,68,53,40,64,64,41,28,23,17,20,20,17,11,14,15,13,14,14,25,27,30,17
CE,2017,328,412,594,648,807,957,1185,1062,1154,1457,1630,1834,2492,2960,3368,2960,2807,1863,1767,1531,1098,999,831,575,468,458,406,292,218,261,182,172,144,104,86,92,103,80,65,68,66,68,49,74,80,70,82,61,72,73,88,138
RN,2017,118,130,102,121,121,87,133,196,273,367,281,238,206,263,244,240,187,201,205,142,101,150,150,180,146,100,102,97,132,98,127,172,159,142,122,116,132,130,72,94,88,111,94,109,131,90,79,74,91,103,50,87
PB,2017,41,39,46,37,57,60,68,63,94,79,103,107,104,74,85,79,81,69,72,95,84,99,76,84,88,82,67,72,87,93,112,95,133,93,77,57,95,76,67,71,80,72,43,90,64,70,56,50,45,59,35,16
PE,2017,114,127,120,120,117,113,130,99,111,156,154,193,146,153,140,280,203,255,278,328,243,254,340,304,233,185,181,208,148,129,191,160,137,156,134,120,118,92,114,95,95,96,94,70,85,76,76,93,97,112,83,70
AL,2017,18,43,45,38,33,40,38,28,39,55,40,51,70,64,48,86,114,79,131,125,80,142,146,155,79,99,69,69,71,54,60,55,43,54,36,50,32,36,33,30,38,30,30,25,38,30,33,43,33,23,9,18
SE,2017,19,18,13,29,11,7,12,10,9,12,10,24,29,18,18,23,16,22,20,20,10,13,18,10,8,8,3,10,10,2,10,8,10,5,8,18,11,15,10,16,10,5,6,10,10,10,6,7,3,4,3,5
BA,2017,436,411,523,449,460,444,375,365,339,299,271,311,313,322,274,262,217,203,238,205,195,182,152,135,136,140,151,145,89,91,91,112,100,90,97,56,64,78,83,77,61,100,81,69,61,80,71,90,91,91,110,212
MG,2017,868,1120,1150,1115,1000,1120,1255,982,1094,1290,1185,1147,1057,946,822,911,767,821,684,595,533,533,408,312,297,242,147,136,138,109,109,112,124,111,105,117,139,119,117,153,134,176,145,151,132,164,172,194,225,303,301,379
ES,2017,278,260,298,268,187,156,192,192,327,352,329,251,204,212,176,201,172,213,204,139,146,158,121,86,127,97,55,49,62,68,85,55,56,50,52,31,52,51,42,48,51,48,52,38,51,40,52,61,74,99,85,136
RJ,2017,316,346,409,418,420,410,410,265,338,358,384,389,338,316,282,364,351,326,260,268,188,255,237,156,174,153,155,133,108,100,94,79,82,73,75,69,70,92,74,110,102,111,93,82,109,133,116,137,169,163,143,198
SP,2017,187,236,220,218,273,259,289,297,248,275,258,270,241,237,228,236,162,175,147,143,120,144,88,93,80,90,66,78,65,55,67,87,75,101,118,113,154,202,193,223,232,221,215,209,233,228,200,246,236,227,195,206
PR,2017,77,79,97,96,68,81,82,79,59,49,73,51,40,34,45,36,26,35,32,31,31,19,23,25,12,17,19,12,10,10,22,17,17,27,27,35,53,55,44,36,38,51,34,31,46,50,49,54,55,52,42,44
