region,year,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52
RO,2016,337,421,610,481,429,530,634,597,542,394,296,262,272,249,204,133,78,75,72,55,41,32,32,19,21,23,18,26,25,17,6,7,7,4,6,15,8,9,12,5,14,15,19,27,24,49,77,145,131,141,104,159
AC,2016,30,61,105,162,229,223,170,142,122,85,51,71,61,66,59,46,28,31,24,16,16,20,10,19,16,16,19,17,12,9,15,4,13,8,15,10,7,8,7,9,14,10,11,14,18,14,19,17,24,24,23,30
AM,2016,56,97,144,175,175,173,296,241,366,279,203,287,396,372,439,391,412,249,224,225,172,146,193,174,158,109,116,88,88,76,47,41,51,50,24,37,35,52,40,41,34,49,38,44,41,55,49,53,55,50,53,47
RR,2016,5,1,3,3,NA,7,4,4,6,15,8,12,9,3,1,1,2,3,3,1,NA,2,4,1,3,3,3,4,5,4,11,4,8,10,7,4,7,3,2,3,6,4,2,2,3,5,NA,NA,1,2,5,1
PA,2016,222,342,380,444,444,468,689,569,525,466,422,341,419,452,476,352,285,311,305,183,134,136,104,114,105,116,98,107,76,68,85,79,75,67,63,61,82,53,50,63,90,55,57,65,55,85,63,67,101,119,126,157
AP,2016,26,18,38,44,33,76,86,71,97,136,82,61,97,84,63,54,56,49,55,36,33,24,20,20,21,13,17,15,13,19,20,23,38,18,15,16,23,33,38,28,21,13,7,9,12,8,9,8,4,6,13,10
TO,2016,354,416,370,466,466,502,614,493,401,372,255,214,245,229,235,210,222,239,217,147,104,118,91,51,42,31,34,35,26,26,19,14,26,14,19,12,19,14,15,18,15,14,27,32,29,38,43,51,46,45,35,198
MA,2016,267,567,701,943,831,1291,1383,1237,1920,1741,1254,1152,1383,1280,1225,1671,1315,821,357,486,355,174,121,103,87,68,83,34,23,42,61,50,42,35,29,35,30,17,8,8,13,39,24,30,50,38,48,35,103,65,95,94
PI,2016,51,70,75,97,132,115,122,106,151,120,155,144,236,387,469,391,301,267,286,220,125,119,102,106,123,107,76,53,31,42,44,31,34,39,27,15,18,21,20,26,24,23,12,16,12,17,20,20,16,21,26,37
CE,2016,240,261,328,473,515,544,841,894,880,969,1011,1158,1494,1747,1938,2587,2981,2881,2506,2598,2436,2092,1878,1833,1359,1267,1288,987,1001,854,757,603,644,526,324,310,309,317,274,282,242,230,218,298,374,466,434,439,297,231,170,159
RN,2016,486,696,1036,1696,2587,3710,5243,5188,5770,4964,4362,3060,2441,2085,2025,1467,1250,1005,944,1022,714,658,632,448,425,352,266,281,252,140,100,149,124,142,111,100,81,78,57,54,57,41,52,43,47,64,53,79,68,60,91,189
PB,2016,858,938,1200,1434,1276,1408,2090,1889,2314,2418,2215,1911,1966,1794,1676,1184,1028,1111,955,1048,787,705,617,528,437,339,272,193,177,111,65,60,61,53,46,29,31,25,18,10,17,22,32,26,19,19,22,18,23,14,45,235
