region,year,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52
PE,2016,4116,4157,4228,4528,4550,5405,4815,4339,3708,2917,2174,1876,1430,1452,1001,791,636,549,505,549,411,373,408,374,298,279,250,307,202,204,219,243,226,197,167,142,150,135,120,154,118,122,126,160,133,136,167,223,237,359,619,1609
AL,2016,599,654,607,613,627,784,826,834,855,885,691,853,897,715,632,665,527,582,552,434,357,322,320,332,306,270,204,247,161,195,154,139,119,102,104,104,67,101,73,44,54,52,45,49,41,63,36,207,361,342,206,321
SE,2016,76,79,110,132,224,287,407,200,199,130,112,106,103,100,113,91,46,42,32,39,39,26,28,22,22,22,38,37,31,41,45,40,38,38,34,19,34,31,21,32,15,31,39,27,34,27,18,14,35,37,32,32
BA,2016,1364,1781,1769,2391,3220,4446,6451,6465,5715,5382,3948,3606,3217,2604,2002,1546,1192,1088,963,681,445,450,404,291,206,230,200,240,224,187,185,167,148,151,138,148,149,129,117,154,136,195,235,172,203,166,197,263,267,274,519,973
MG,2016,10649,12841,14379,17281,21640,26605,38071,42518,39619,38388,37116,31518,34373,35668,30770,24523,20852,15143,9587,6587,3810,2619,1559,996,635,411,331,268,198,166,153,158,191,161,145,169,195,159,163,132,174,224,223,257,226,315,352,401,506,517,892,4187
ES,2016,2708,2308,2437,2384,2483,2719,2739,2522,2551,2456,2033,1693,2081,1715,1478,1214,850,567,425,366,194,263,172,126,101,105,98,113,83,71,73,76,82,74,83,75,102,64,48,66,82,108,56,83,104,134,163,274,235,243,422,1403
RJ,2016,4230,3836,4256,3948,3670,4035,4729,4089,3920,3995,4327,4553,5229,4944,5013,3894,3545,2315,2076,1448,954,835,690,379,296,297,291,267,207,179,153,109,131,96,94,90,120,108,74,83,82,115,136,119,139,168,219,305,383,379,734,1843
SP,2016,6042,7375,8883,10575,11001,13322,13901,13468,13348,12561,12694,11668,11436,10582,9147,8121,6888,4494,2756,2082,1348,885,512,430,316,297,202,205,142,157,137,139,125,138,124,128,137,133,157,142,204,249,200,243,291,280,267,308,317,361,723,3054
PR,2016,1322,1897,2854,2857,3293,3895,4140,4589,4731,4325,3870,4355,4063,4010,3635,2981,1677,836,560,355,215,138,68,81,72,74,56,56,31,39,32,33,26,29,29,20,40,32,45,46,66,68,57,88,74,65,107,82,85,93,127,518
SC,2016,68,57,104,130,173,307,358,379,552,486,349,377,354,268,296,280,236,85,38,27,15,10,6,3,3,5,5,6,4,9,6,5,3,3,4,5,3,1,4,2,4,7,8,7,7,6,9,6,9,9,12,39
RS,2016,40,27,40,49,54,60,106,156,210,259,245,312,253,253,257,277,205,104,53,32,23,10,5,4,4,4,3,1,5,4,5,5,1,2,5,NA,1,NA,6,8,2,6,5,1,7,9,5,7,16,15,12,24
MS,2016,3357,4043,4553,4068,3888,3688,3491,2895,2644,2199,1747,1661,1630,1270,1224,848,532,290,176,114,79,79,43,23,34,39,22,17,15,16,24,24,28,23,18,20,23,27,25,26,26,39,20,24,29,33,29,51,61,68,159,1284
MT,2016,1430,1511,1509,1459,1677,1736,1751,1260,1072,848,638,538,500,373,352,224,185,186,132,87,82,102,80,59,60,54,51,51,37,33,60,52,81,51,36,60,59,92,72,83,66,66,87,103,118,176,156,216,218,243,324,792
GO,2016,3445,3972,4485,5073,6486,6700,8743,8476,8102,7385,6883,5934,6440,5952,5458,4110,3477,2929,2596,2066,1500,1235,1128,872,757,526,497,431,362,360,341,365,389,350,376,317,371,424,399,409,501,535,530,517,565,624,714,772,809,878,914,1973
DF,2016,545,533,652,634,1049,1406,1385,1102,1108,1204,1181,1040,971,952,922,727,635,579,490,352,269,267,219,146,92,75,66,49,51,25,27,16,25,16,21,19,23,19,27,18,11,24,17,31,19,25,31,37,54,95,95,215
