region,year,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52
RO,2015,48,36,33,32,60,38,52,49,64,84,59,47,59,77,49,67,58,54,45,39,32,36,31,28,25,24,18,18,8,10,16,10,18,9,12,19,11,22,26,33,32,30,43,36,45,58,62,94,77,105,104,108
AC,2015,575,622,612,432,448,339,300,276,235,189,201,162,96,82,61,64,70,54,44,50,39,48,29,51,28,19,22,15,13,9,11,12,14,10,7,19,14,13,12,12,22,16,18,12,18,20,17,33,52,36,25,311
AM,2015,73,70,128,76,141,86,116,95,136,150,146,117,93,119,119,102,92,87,75,87,64,101,71,35,31,40,39,54,71,41,48,39,36,39,30,50,49,30,52,46,31,21,27,30,26,34,28,49,68,88,95,90
RR,2015,16,30,26,19,16,13,6,13,10,22,17,19,16,37,18,22,29,15,28,20,18,24,47,41,24,20,27,43,43,41,42,41,42,41,39,34,34,25,9,17,5,9,4,4,2,2,4,3,14,6,3,8
PA,2015,71,72,84,100,135,122,183,212,257,334,307,284,203,268,259,229,222,245,222,204,159,157,142,147,104,99,98,96,99,112,130,141,122,110,105,145,98,107,103,103,102,91,70,102,109,84,154,180,232,170,92,79
AP,2015,92,74,102,114,171,88,162,140,270,185,178,106,128,148,85,74,71,77,90,52,48,48,51,38,32,49,32,31,28,37,35,33,33,34,37,35,22,20,24,32,17,14,23,24,42,25,7,22,20,16,16,62
TO,2015,81,69,78,93,113,164,175,199,290,301,347,385,298,334,330,279,301,312,254,293,229,165,211,190,146,118,94,95,76,84,75,73,58,42,50,21,32,46,36,36,43,53,35,61,76,102,120,200,227,209,189,129
MA,2015,68,131,184,120,101,129,171,268,390,508,571,468,504,454,428,361,293,261,218,176,153,135,125,102,61,66,59,38,55,30,47,37,41,33,29,37,35,50,35,35,32,68,48,65,41,58,85,163,150,109,54,102
PI,2015,54,36,53,58,86,89,97,156,252,298,461,604,511,554,627,497,434,418,405,391,233,196,183,135,76,75,70,39,47,39,29,49,30,27,17,30,22,14,22,22,23,19,25,10,24,21,31,36,30,26,25,31
CE,2015,352,376,456,533,656,571,631,766,1176,1493,1419,1567,1621,2269,2542,3158,3043,3698,4387,4299,3624,3245,3055,2963,2332,1885,1586,1248,1052,930,887,820,690,531,465,399,328,260,242,174,152,127,109,116,138,147,142,177,189,178,108,246
RN,2015,288,354,437,407,491,547,681,869,1128,1320,1401,1589,1370,1981,1595,1345,1068,873,725,583,440,317,251,193,142,149,108,96,91,113,80,67,64,45,40,53,46,55,48,71,46,75,51,62,64,105,99,159,184,185,174,233
PB,2015,60,46,71,93,111,122,162,267,369,526,605,665,676,910,937,1008,993,1384,1418,1435,1214,1056,731,514,469,475,480,470,382,260,233,187,170,133,104,107,98,95,55,61,45,48,50,70,76,152,236,474,834,746,818,797
PE,2015,439,544,614,672,836,796,1107,1546,2605,3321,4126,4379,4680,5279,5536,5582,4798,4578,3566,2967,2160,1843,1721,1297,930,768,730,613,518,461,511,583,521,528,912,849,907,747,1030,1027,991,1266,1739,2963,3597,4196,3538,4588,4462,3951,2421,1408
AL,2015,149,190,222,274,335,247,260,229,303,361,447,425,414,529,713,685,700,885,857,830,780,675,717,704,673,639,611,568,502,433,354,329,346,323,407,369,352,395,444,447,510,687,691,753,1194,1279,818,692,543,412,324,377
SE,2015,68,68,74,68,71,95,111,134,168,192,279,221,185,282,247,182,112,146,110,79,86,48,34,33,23,32,35,23,32,28,31,171,206,179,174,310,350,431,302,262,222,260,228,300,487,432,592,436,288,150,66,119
BA,2015,180,160,273,363,492,517,703,1156,1446,1801,2499,3122,2681,2624,2452,2108,1936,2325,2043,1744,1772,1437,1273,1140,834,943,1114,1179,1000,971,815,702,587,541,552,575,523,448,445,404,387,357,352,460,562,545,719,1031,1225,1018,651,405
MG,2015,655,1053,1327,1521,2039,1948,2343,3059,4454,5746,6977,7405,9419,13199,13699,15596,17596,15866,13398,9872,6671,4875,4395,3296,2086,1304,1038,736,634,454,368,315,281,224,225,207,289,265,263,287,296,356,395,525,704,1013,1327,1802,2533,2980,3310,2814
ES,2015,236,250,203,179,201,126,158,162,206,293,326,370,352,451,574,705,874,984,1020,919,935,813,961,861,682,758,725,604,624,635,683,653,519,549,491,562,694,587,660,848,749,874,880,931,955,889,1118,1299,1736,1641,1282,823
RJ,2015,441,550,848,758,828,782,915,1195,1865,2251,2797,2461,2553,3448,3616,3425,3973,3875,3861,3154,2546,2274,1987,1759,1202,1011,919,823,798,701,693,656,493,439,390,369,334,367,367,345,342,386,348,502,643,749,968,1341,1784,2047,1602,1178
SP,2015,4951,7397,13309,18607,24737,26531,32185,40380,52668,60314,63740,54867,47771,54067,47858,44155,39183,29238,19858,13651,9459,6827,4895,3910,2408,1484,833,864,946,668,539,586,472,390,314,329,391,415,443,437,492,503,527,671,844,1018,1276,1542,2027,2387,2472,4106
PR,2015,198,270,452,571,758,740,855,1216,1863,2494,3095,3465,3640,4323,3530,3084,2999,2245,1403,1053,960,772,586,460,228,176,116,87,122,104,91,109,75,63,54,53,49,70,76,58,81,73,75,122,151,223,279,317,442,586,571,486
SC,2015,11,16,34,82,127,167,161,194,232,293,364,374,334,393,344,287,227,209,146,116,76,48,36,24,18,10,7,7,10,4,4,2,7,5,4,1,7,7,NA,5,4,NA,7,10,7,10,10,15,21,10,26,23
RS,2015,NA,1,11,3,3,9,11,15,28,93,135,155,179,250,171,130,109,108,45,36,30,13,17,10,6,5,1,2,4,4,3,4,10,3,4,2,4,3,3,1,1,5,3,NA,6,4,10,10,13,21,13,15
MS,2015,189,300,411,482,547,601,801,855,883,992,1270,1420,1322,1624,1353,1371,1409,1096,756,586,521,408,374,334,199,126,107,85,115,96,99,81,82,95,88,95,88,106,128,115,144,202,280,356,551,706,1000,1512,1585,1722,1562,1132
MT,2015,152,151,222,206,256,222,283,316,375,469,522,457,573,621,737,755,771,872,879,753,720,506,505,520,365,335,291,205,223,195,192,268,259,185,197,186,165,179,197,174,219,232,225,268,342,429,675,1036,1057,745,517,381
GO,2015,2242,2670,3808,4293,4809,4384,4865,5680,6972,7346,7875,6869,7002,8228,5693,7177,8727,8987,8254,7262,6088,4699,4416,3745,2496,1775,1158,1023,1033,798,677,609,555,451,389,429,431,416,430,443,593,571,572,772,880,1007,1017,1443,1688,1702,1667,1918
DF,2015,62,61,74,121,157,142,178,177,242,256,283,315,342,531,647,719,759,841,609,562,445,427,376,319,205,104,71,80,83,43,39,35,45,24,26,26,24,12,40,37,22,22,22,21,52,39,50,69,89,109,106,112
