admin1,year,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52
central,2012,0,0,25,7,31,120,14,124,141,227,204,455,552,0,1710,1536,562,2758,1602,737,886,3720,521,519,1882,862,353,810,208,3,0,160,382,0,19,19,21,17,27,21,32,31,0,0,94,94,94,94,94,474,293,NA
concepcion,2012,0,0,3,0,25,42,18,15,46,13,26,9,65,0,130,104,121,65,116,25,86,0,74,42,26,2,3,117,13,1,1,0,2,1,6,3,5,13,4,5,4,1,0,0,0,0,0,0,0,0,0,NA
san pedro,2012,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,7,1,2,0,1,3,0,0,0,25,0,0,1,0,0,0,1,1,0,2,0,1,0,0,13,0,1,0,0,0,1,6,8,NA
cordillera,2012,0,0,0,0,1,2,12,6,4,3,13,9,20,0,37,10,10,15,24,1,97,0,24,4,9,5,0,0,1,0,0,0,0,0,3,3,1,1,2,0,3,3,0,0,0,0,0,0,1,1,0,NA
guaira,2012,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,1,19,1,2,5,0,0,7,0,1,0,2,0,0,2,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
caaguazu,2012,0,0,0,0,0,0,0,0,0,0,6,7,1,0,24,3,8,8,4,6,9,0,20,11,3,2,0,1,2,0,0,0,0,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,0,2,4,NA
caazapa,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,NA
itapua,2012,0,0,0,0,0,0,0,0,0,2,1,3,2,0,4,7,5,1,3,1,3,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,2,1,0,0,0,0,0,0,0,0,1,NA
misiones,2012,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,2,0,6,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
paraguari,2012,0,0,0,0,1,0,1,4,3,2,6,2,3,0,10,21,26,21,14,0,25,0,22,17,19,8,5,42,17,0,0,2,2,0,2,3,4,1,0,1,2,2,0,0,0,0,0,0,2,0,0,NA
alto parana,2012,0,0,0,0,0,4,1,0,0,0,3,1,4,0,7,0,6,0,2,1,0,0,14,17,0,0,24,178,108,0,0,0,0,0,0,4,2,8,6,6,4,4,0,0,0,0,0,0,1,0,0,NA
asuncion,2012,0,3,0,0,0,0,1,12,7,39,6,40,36,0,199,144,109,438,0,202,861,0,750,6,422,0,31,402,442,227,95,100,49,1,38,46,65,68,63,89,102,72,0,0,0,0,0,0,15,30,51,NA
neembucu,2012,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
amambay,2012,0,0,1,0,0,0,1,5,0,0,4,9,14,0,37,35,53,20,37,16,75,0,61,0,57,57,24,39,3,5,0,8,4,0,1,2,0,3,2,3,5,4,0,0,0,0,0,0,3,0,0,NA
canindeyu,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,14,1,0,0,0,0,28,0,1,6,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
pte hayes,2012,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,3,4,1,0,0,0,3,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,1,3,0,0,0,0,0,0,0,5,8,NA
boqueron,2012,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,5,5,0,1,2,0,6,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
alto paraguay,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
