admin1,year,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52
asuncion,2020,0,33,324,213,645,1362,648,3399,2152,5564,2898,2406,2013,2444,1909,1240,1034,1009,54,0,686,772,843,208,1005,874,848,462,186,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,378,0,78,0,2
concepcion,2020,0,0,4,2,1,4,0,94,3,0,0,2,0,2,0,0,0,1,0,221,242,123,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san pedro,2020,0,0,1,10,11,89,6,131,66,0,70,124,3,10,112,836,6,15,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
cordillera,2020,0,0,8,11,8,129,10,182,118,227,113,38,10,14,16,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guaira,2020,0,1,0,0,2,0,2,8,1,1,1,1,1,0,0,1,14,0,0,0,0,11,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caaguazu,2020,0,0,0,2,7,2,7,9,1,6,1,1,5,1,0,0,2,0,94,0,0,3,0,63,778,274,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caazapa,2020,0,0,1,14,3,7,3,15,0,6,5,1,2,0,0,0,1,0,117,1,0,336,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,24,3,20,0,29,0,1
itapua,2020,0,0,0,4,3,5,4,8,3,0,18,1,8,179,0,74,2,131,4,9,6,97,351,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misiones,2020,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paraguari,2020,0,0,1,20,12,7,80,41,7,7,16,0,1,1,0,0,1,0,0,0,158,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alto parana,2020,0,1,1,1,0,0,0,28,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
central,2020,0,56,66,113,107,840,690,1299,389,275,529,1089,419,233,87,210,1048,1214,790,639,842,662,1033,801,626,723,663,464,313,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,1,0,1
neembucu,2020,0,1,2,2,5,2,11,23,6,8,7,5,0,0,0,0,1,14,0,14,12,130,1,0,95,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0
amambay,2020,0,1,0,3,4,31,38,10,1,3,2,6,15,11,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canindeyu,2020,0,0,0,2,1,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,78,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pte hayes,2020,0,0,0,2,10,4,9,9,0,0,2,0,1,0,0,0,1,0,0,0,43,199,149,71,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
boqueron,2020,0,1,0,26,11,3,3,216,99,1,1,0,127,226,40,38,241,0,0,0,0,40,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,71,0,0,0,0,0,0
alto paraguay,2020,0,0,0,0,9,4,0,1,0,0,3,0,1,1,0,0,0,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
