admin1,year,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52
asuncion,2015,1,2,0,10,9,4,5,5,10,4,8,3,24,0,66,20,51,83,60,0,117,160,65,60,412,0,23,26,25,9,383,11,35,8,8,8,5,3,11,110,14,8,8,8,13,1,10,0,1,22,0,0
concepcion,2015,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,7,0,0,0,0,1,0,17,1,0,3,0,0,18
san pedro,2015,0,0,0,0,0,0,0,0,2,6,3,12,3,0,52,8,4,1,0,15,7,6,23,109,45,0,0,0,92,0,3,25,5,1,5,13,26,0,8,0,1,1,11,2,3,1,0,7,14,2,2,21
cordillera,2015,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,12,0,16,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
guaira,2015,0,0,0,0,0,0,0,0,3,0,1,1,0,0,14,2,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,133,0,3,1,11,1,1,0,0,0,2,0,1,1,0,0,0
caaguazu,2015,0,0,0,6,27,51,94,94,68,95,272,185,328,0,476,223,132,294,73,0,289,92,48,198,0,0,20,56,190,83,0,180,153,33,174,2,115,0,48,0,89,3,3,0,0,0,342,36,346,155,155,156
caazapa,2015,0,0,0,0,0,0,0,0,0,0,1,0,6,0,8,0,1,0,2,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,2,1,0,0,0,0,0,0,0,1,0,1,1,6
itapua,2015,0,0,0,0,0,0,0,1,1,1,0,1,1,0,6,3,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30
misiones,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
paraguari,2015,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,3,0,2,5,0,3,2,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,20
alto parana,2015,0,0,5,3,3,9,14,1,14,47,6,8,52,0,75,10,6,13,299,0,511,222,140,17,3,0,108,134,171,0,1,0,13,6,0,0,1,2,92,0,1025,0,0,12,12,0,154,8,15,19,19,25
central,2015,0,0,2,14,0,26,17,8,3,32,17,2,9,0,64,40,18,8,36,0,301,69,5,346,2,0,56,19,45,95,53,0,6,69,0,2,25,3,16,248,45,56,113,3,2,5,17,21,22,19,19,115
neembucu,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4
amambay,2015,0,0,0,0,0,0,0,0,2,11,12,5,1,0,7,19,20,28,0,45,14,20,11,12,9,0,6,8,0,0,4,1,0,2,6,2,0,4,1,5,7,7,26,17,47,84,123,40,67,32,11,0
canindeyu,2015,0,0,0,1,2,31,12,11,1,5,1,8,34,0,74,71,123,1,532,0,0,55,0,17,2,0,0,97,1,0,0,354,594,0,116,3,0,0,0,52,0,0,0,1,0,1,1,0,1,2,2,4
pte hayes,2015,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,1,1,1,34
boqueron,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,5,4,7,1,0,0,7,0,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
alto paraguay,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
