admin1,year,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52
asuncion,2019,0,0,0,0,0,0,0,2,0,2,0,0,1,0,3,8,5,6,10,0,5,0,0,1,0,0,6,5,0,0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,1,0,4,3,22,14,38,31
concepcion,2019,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,0,1,0,0,0,0,4,0,0,0,2,0,0,11,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
san pedro,2019,0,0,0,0,0,0,1,0,0,0,0,2,0,3,1,1,1,2,0,1,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
cordillera,2019,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2
guaira,2019,0,0,0,0,0,0,0,1,3,1,2,6,3,0,2,0,6,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,5,1
caaguazu,2019,0,0,0,0,0,0,0,1,0,2,7,1,1,1,7,2,1,9,5,1,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caazapa,2019,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
itapua,2019,0,0,0,0,0,1,4,2,3,8,1,1,3,5,5,1,2,2,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
misiones,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paraguari,2019,0,0,1,0,0,1,0,0,0,2,6,2,3,0,2,0,0,1,5,0,1,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,8,3
alto parana,2019,0,0,0,16,13,0,0,4,2,17,32,7,9,7,3,0,3,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
central,2019,0,0,1,1,0,2,0,2,1,1,4,3,3,2,1,8,5,7,21,3,12,1,7,2,5,3,16,5,5,1,1,3,1,7,2,0,1,0,4,1,0,2,1,1,0,10,2,15,50,41,100,119
neembucu,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
amambay,2019,0,0,0,1,1,1,3,3,3,4,5,7,7,1,3,4,1,0,2,0,6,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
canindeyu,2019,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,0,0,2,5,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0
pte hayes,2019,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
boqueron,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,10
alto paraguay,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
