admin1,year,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52
asuncion,2013,39,101,410,0,157,363,291,287,286,173,2525,1145,1071,2009,0,2010,1238,149,263,434,4861,32,6,0,0,0,16,5,0,8,3,0,0,16,7,3213,7,113,3,4,2,3,4,5,118,279,0,122,70,7,18,1
concepcion,2013,2,53,3,0,0,117,37,0,1,43,1,2,259,0,0,178,0,0,0,152,94,2,31,47,11,0,15,0,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san pedro,2013,7,4,16,0,9,12,10,7,8,7,0,0,80,9,0,4,0,0,2,1,0,1,0,0,0,2,21,0,0,0,0,0,0,31,0,11,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0
cordillera,2013,0,5,15,0,13,120,4,93,2,4,7,10,273,1,0,18,166,5,4,4,50,1,1,1,1,14,115,1,0,0,0,0,0,3,0,0,42,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
guaira,2013,0,1,36,0,9,29,26,30,12,1,24,9,177,10,0,49,78,130,92,5,116,1,8,0,0,0,3,0,0,0,24,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caaguazu,2013,0,7,18,0,4,51,27,33,20,71,45,43,319,25,0,42,158,111,28,60,118,132,105,123,136,127,170,77,11,225,93,0,0,0,0,0,0,2,5,0,0,0,0,1,0,0,3,0,0,1,1,0
caazapa,2013,1,0,2,0,3,2,1,4,1,2,0,4,20,5,0,5,2,1,0,7,4,1,0,0,3,0,0,0,0,1,0,0,0,1,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
itapua,2013,0,11,27,0,11,11,11,7,7,18,17,14,134,23,0,35,4,10,9,4,2,2,1,0,0,0,15,0,1,0,0,0,0,0,0,19,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
misiones,2013,0,0,4,0,0,6,1,0,1,2,0,0,14,0,0,50,0,1,1,0,13,0,0,0,0,0,13,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paraguari,2013,2,0,21,0,26,24,42,57,60,68,36,42,378,58,0,220,1,209,13,134,120,55,78,6,5,0,5,4,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
alto parana,2013,2,15,42,0,15,40,38,55,33,320,37,20,617,36,0,89,4,9,6,24,57,65,1145,344,1,6,178,2,2,2,8,0,0,3,0,0,0,8,0,0,0,1,0,4,0,0,0,1,5,7,0,0
central,2013,146,279,2204,0,4518,3645,1553,2100,13280,3372,6415,5558,43070,4667,0,10552,1243,2326,612,1215,5154,6709,61,9398,30,7127,1065,3052,171,6,66,0,0,245,0,0,0,268,19,1,0,0,349,13,324,53,25,2,5,2,2,5
neembucu,2013,0,0,1,0,6,2,4,3,0,2,0,0,18,0,0,3,2,0,42,4,0,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amambay,2013,0,0,3,0,7,16,14,85,55,40,122,101,443,65,0,192,171,2,40,183,17,55,45,0,29,0,228,254,0,65,77,0,0,152,40,258,56,4,0,2,0,0,0,1,1,0,1,0,0,0,0,0
canindeyu,2013,0,0,2,0,1,1,5,16,28,0,1,0,54,0,0,26,1,253,0,201,2,0,96,0,42,21,33,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pte hayes,2013,18,19,44,0,1,58,64,206,98,0,140,294,942,229,0,58,48,170,4,182,194,56,14,2,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
boqueron,2013,0,3,6,0,2,1,2,2,2,5,1,5,29,3,0,15,0,0,0,8,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alto paraguay,2013,0,0,0,0,7,1,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
