admin1,year,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25,w26,w27,w28,w29,w30,w31,w32,w33,w34,w35,w36,w37,w38,w39,w40,w41,w42,w43,w44,w45,w46,w47,w48,w49,w50,w51,w52
asuncion,2018,66,129,137,57,69,115,92,69,72,72,36,11,21,7,7,9,8,1,1,7,11,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concepcion,2018,0,0,0,3,0,2,0,3,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
san pedro,2018,0,0,1,0,0,2,0,4,2,1,0,0,1,1,2,4,1,0,0,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cordillera,2018,3,3,4,6,11,2,4,11,12,12,5,0,1,3,6,2,4,0,7,7,6,0,1,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guaira,2018,1,1,1,1,2,4,6,8,6,3,0,0,0,0,2,0,0,0,7,18,5,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caaguazu,2018,0,0,0,1,0,0,0,1,0,3,8,4,3,0,3,4,2,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caazapa,2018,0,0,0,0,0,0,0,0,1,0,1,0,5,0,2,0,3,0,4,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
itapua,2018,0,2,0,1,0,3,9,5,11,12,8,1,4,11,5,4,27,3,6,21,12,2,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
misiones,2018,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paraguari,2018,5,2,3,0,5,12,17,5,11,21,23,10,43,9,5,21,56,0,14,28,24,1,3,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alto parana,2018,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
central,2018,15,75,82,96,82,125,133,127,130,80,54,43,19,35,18,23,13,5,7,19,12,8,16,0,2,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
neembucu,2018,0,0,0,0,0,2,2,0,4,4,18,2,10,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amambay,2018,0,0,0,1,0,0,0,1,0,1,2,1,0,0,2,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canindeyu,2018,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,3,0,0,1,11,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pte hayes,2018,0,7,1,10,5,2,6,1,17,21,9,1,6,3,3,1,14,0,11,1,1,0,1,12,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boqueron,2018,0,1,0,0,3,3,2,0,3,6,5,5,4,5,7,2,21,8,6,33,19,9,6,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alto paraguay,2018,0,3,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
