value
65
31
52
54
16
34
64
44
30
59
43
86
36
90
41
79
54
104
89
79
98
88
89
107
113
138
88
121
114
182
247
273
327
575
980
1374
1836
1766
1833
2127
1743
1875
1659
1283
1198
1274
1306
1249
990
820
603
400
237
550
630
591
429
417
323
266
274
229
173
185
135
85
71
44
54
66
46
45
46
50
49
13
48
27
19
30
27
11
14
15
17
22
14
19
32
18
26
21
16
27
24
28
19
30
29
32
54
79
55
36
336
0
44
103
171
250
249
151
165
93
25
65
96
73
91
57
54
0
0
0
0
0
20
0
12
0
10
7
13
7
0
11
6
19
3
22
15
18
14
15
16
27
17
21
24
33
24
31
29
35
36
32
52
72
87
109
116
103
47
31
30
51
76
73
35
42
54
32
13
6
19
22
18
21
27
23
23
3
21
26
26
23
17
25
17
17
25
23
20
22
12
16
25
30
46
31
46
51
73
83
85
119
99
85
60
123
134
136
123
103
122
139
95
95
99
98
96
92
89
70
84
56
83
86
45
97
67
54
50
41
35
48
58
65
61
55
48
62
56
56
54
147
185
153
185
257
336
364
457
542
427
429
451
318
231
291
145
367
340
375
403
251
338
311
276
153
149
194
205
176
130
116
95
91
97
68
73
55
47
31
46
39
37
40
45
37
34
72
45
25
44
62
42
60
54
43
101
153
182
280
314
484
576
654
631
736
554
304
323
588
671
603
316
248
205
199
164
172
144
101
0
7
14
23
33
49
109
145
200
163
127
111
92
38
43
36
21
39
40
34
35
41
23
26
37
30
47
44
48
41
59
73
74
106
176
280
301
439
378
287
471
471
