value
7
8
1
11
10
9
11
4
13
19
17
31
44
42
38
48
77
132
131
145
122
116
121
69
64
60
66
59
40
45
42
17
29
30
21
33
25
19
21
16
34
20
18
11
17
21
20
58
30
23
21
16
12
60
67
74
68
67
97
119
141
177
213
286
212
180
253
239
174
107
136
102
74
77
42
29
26
21
32
33
17
28
22
26
98
203
176
171
240
347
414
292
257
218
256
225
314
332
422
494
425
277
139
57
168
77
76
126
155
318
452
253
188
192
118
106
99
91
89
104
83
40
37
24
32
36
22
24
18
19
18
37
33
28
38
42
37
35
35
31
15
32
28
18
30
12
29
36
24
31
24
18
14
32
36
38
19
15
17
9
27
7
3
9
7
6
9
8
22
27
14
16
20
12
21
17
17
7
10
15
6
6
5
0
7
7
0
8
5
7
2
5
15
8
13
7
13
8
2
3
8
8
7
4
4
0
1
2
1
1
1
0
0
0
0
0
5
0
0
4
3
4
1
7
5
1
8
7
9
5
2
8
0
1
0
0
4
6
0
0
3
5
4
0
2
0
1
0
1
7
0
1
2
4
1
3
0
1
0
0
5
1
7
5
5
2
7
5
1
4
10
23
8
18
18
40
39
58
98
113
153
169
162
174
199
251
328
369
368
323
400
380
276
241
259
155
174
175
140
100
99
91
68
58
76
51
44
26
10
18
16
9
12
8
11
12
11
6
11
8
12
28
18
9
6
14
34
31
9
16
40
32
20
40
56
77
103
71
85
102
105
79
98
72
76
64
58
44
42
29
37
27
45
25
18
13
6
10
7
14
8
15
13
0
0
0
