value
12
16
10
11
18
12
32
14
10
22
17
13
16
12
21
13
13
18
12
13
9
10
10
9
9
11
9
10
10
9
10
9
9
10
9
8
10
9
9
9
10
8
10
8
9
9
10
10
9
11
10
10
13
9
12
28
14
17
17
25
29
47
117
149
162
200
263
164
128
112
110
44
38
34
19
25
17
13
13
9
11
12
13
11
14
19
11
13
11
13
11
13
9
9
15
12
8
16
12
20
19
21
33
20
32
51
41
53
64
94
61
118
200
218
263
258
326
249
263
264
284
202
100
56
37
30
17
13
13
13
13
12
9
15
12
14
14
9
11
14
8
10
9
15
17
10
15
13
9
16
18
13
16
26
24
24
31
26
22
16
14
15
14
16
10
16
10
10
14
15
11
10
13
11
13
10
10
13
9
9
10
8
10
9
12
11
10
11
8
9
9
11
9
12
12
9
12
10
14
11
13
11
11
12
14
15
11
18
18
12
13
14
13
17
16
13
13
11
14
14
12
12
11
15
10
14
11
11
8
10
12
9
11
9
8
10
10
9
11
10
9
10
9
9
11
11
8
9
12
9
11
13
8
11
11
10
14
12
12
9
11
18
21
19
12
13
13
14
19
19
40
32
51
54
70
88
134
190
180
143
195
102
69
50
54
61
47
30
12
18
13
17
11
12
11
16
14
12
16
12
14
10
14
12
12
13
15
10
16
14
15
14
14
17
23
25
17
29
44
65
138
198
197
197
264
421
536
539
308
307
271
229
128
99
47
17
27
26
18
10
9
10
16
18
14
11
17
9
10
18
15
17
14
16
14
16
14
24
18
20
17
13
22
1
2
2
